timecode,color,brightness,rainbowEffect
00:00:00.000,#ff0000,100,false
00:00:05.000,#ff0000,0,false
00:00:11.000,#fffc41,50,true
00:00:14.000,#fff76b,0,false
00:00:33.000,#00c7fc,254,false
00:00:38.747,#00c7fc,254,false
00:00:52.069,#000000,0,false
00:02:20.140,#DBFAFF,125,false
00:03:10.941,#3a88fe,254,false
00:03:33.505,#000000,0,false
00:05:42.000,#96e9f9,150,false
00:05:54.271,#E672F5,150,false
00:05:58.608,#96E9F9,200,false
00:06:00.000,#96E9F9,100,false
00:06:21.339,#E1DFFB,200,false
00:06:22.173,#E1DFFB,200,false
00:06:30.974,#60EAEE,100,false
00:06:31.516,#E201B3,100,false
00:06:32.017,#2149F2,100,false
00:06:32.392,#5ADADD,100,false
00:06:33.200,#D41834,100,false
00:06:36.800,#E1DFFB,200,false
00:06:54.300,#E1DFFB,0,false
00:07:39.000,#3a88fe,200,false
00:08:03.000,#3a88fe,30,false
00:08:04.000,#3a88fe,100,false
00:08:05.000,#3a88fe,150,false
00:08:06.000,#d673dd,200,false
00:08:11.783,#3a88fe,200,false
00:08:37.000,#96E9F9,0,false
00:10:44.185,#E44DBB,100,false
00:10:46.796,#E44DBB,0,false
00:13:48.995,#E0B935,200,false
00:14:06.200,#E0B935,0,false
00:14:39.629,#E0B935,50,false
00:14:53.000,#E0B935,200,false
00:15:25.621,#E0B935,0,false
00:16:02.587,#E0B935,50,false
00:16:24.484,#E0B935,0,false
00:19:19.492,#d51a63,30,false
00:19:22.000,#d51a63,0,false
00:24:07.154,#d51a63,50,false
00:24:08.000,#d51a63,0,false
00:25:53.886,#d51a63,50,false
00:26:07.000,#d51a63,100,false
00:28:09.000,#63129e,200,true
00:28:48.185,#63129E,0,false
00:31:24.001,#7958C8,100,false
00:31:40.001,#ff0000,0,false
00:33:31.043,#D51A63,200,false
00:34:24.688,#D51A64,0,false
00:44:30.376,#D51A63,50,false
00:44:31.000,#D51A63,0,false
00:53:59.653,#d51a63,100,false
00:54:38.000,#ff0000,0,false
00:56:27.000,#3a88fe,50,false
00:56:58.206,#00a3d7,100,false
00:58:20.373,#3a88fe,154,false
00:58:37.639,#d357fe,200,false
00:59:17.472,#847BF4,0,false
00:59:50.378,#E44DBB,20,false
01:00:00.000,#ff0000,0,false
01:03:05.365,#B5F3F9,200,false
01:03:05.365,#E44DBB,200,false
01:03:33.602,#e0b935,50,false
01:04:05.885,#BEA894,0,false
01:04:36.873,#C38AF4,150,false
01:04:46.100,#E0B935,200,false
01:05:17.373,#E0B935,100,false
01:05:33.188,#E0B935,200,false
01:06:19.684,#E0B935,0,false
01:06:40.118,#E44DBB,200,false
01:07:40.198,#c67ded,10,false
01:07:55.000,#ff0000,0,false
01:09:01.000,#d51a63,100,false
01:09:02.000,#ff0000,0,false
01:11:31.200,#d51a63,150,false
01:11:33.201,#d51a63,0,false
01:14:26.000,#d51a63,100,false
01:14:28.000,#d51a63,0,false
01:15:10.715,#d51a63,100,false
01:15:44.000,#d51a63,150,false
01:15:49.000,#ff0000,200,false
01:15:55.501,#d51a63,100,false
01:16:20.000,#ff0000,150,false
01:16:27.000,#d51a63,150,false
01:16:43.000,#ff0000,100,false
01:16:50.000,#d51a63,100,false
01:16:52.000,#d51a63,100,false
01:16:54.000,#d51a63,150,false
01:17:01.000,#d51a63,150,false
01:17:16.000,#d51a63,200,false
01:17:32.000,#d51a63,50,false
01:18:18.001,#d51a63,0,false
01:19:56.001,#C0A4D5,50,false
01:20:14.093,#b576e5,100,false
01:20:51.100,#C0A4D5,0,false
01:22:27.069,#4489e4,50,false
01:22:33.000,#00c7fc,100,false
01:22:40.000,#00c7fc,150,false
01:22:57.000,#0011ff,100,true
01:23:46.000,#53d5fd,100,false
01:24:02.046,#C0A4D5,0,false
01:25:43.800,#C0A4D5,50,false
